Filename,TextGridLabel,Intensity
M1B33,e40,71.75391981
M1B33,I50,73.2474218
M1B33,o60,69.99270581
M1B33,fix2,69.83226943
M1B34,fix1,63.22251997
M1B34,y1,71.57707395
M1B34,u2,72.57083872
M1B34,U3,72.03297246
M1B34,y4,71.03853135
M1B34,u5,69.02071504
M1B34,U6,73.86355891
M1B34,fix2,63.44687288
M1B37,fix1,55.61660105
M1B37,e0,70.67922454
M1B37,e10,70.65896688
M1B37,I20,71.80172248
M1B37,u30,68.93720475
M1B37,e00,69.31557695
M1B37,e40,74.04925928
M1B37,i50,71.30298909
M1B37,U60,72.0263334
M1B37,fix2,66.77903888
M1B38,fix1,66.1774035
M1B38,i1,71.94331497
M1B38,I2,74.16523917
M1B38,o3,61.82857604
M1B38,i4,68.96137855
M1B38,I5,73.21017195
M1B38,o6,70.1984082
M1B38,fix2,69.241237
M1B39,fix1,51.11935345
M1B39,y1,72.3545292
M1B39,i2,71.24053284
M1B39,U3,71.43276892
M1B39,y4,73.25722183
M1B39,i5,69.93862057
M1B39,U6,72.12252844
M1B39,fix2,69.36129109
M1B40,fix1,41.75937041
M1B40,a1,64.9385145
M1B40,E2,74.42508519
M1B40,o3,65.74250459
M1B40,a4,66.3522672
M1B40,E5,75.39159029
M1B40,o6,71.14618641
M1B40,fix2,68.47246682
M1B41,fix1,56.48599551
M1B41,i1,72.83722824
M1B41,i2,73.36384782
M1B41,E3,67.70728
M1B41,i4,70.88064709
M1B41,i5,68.68967583
M1B41,E6,71.11859628
M1B41,fix2,56.16998558
M1B43,fix1,57.12477861
M1B43,e1,66.47097579
M1B43,u2,66.62915616
M1B43,U3,69.11008933
M1B43,e4,68.64220139
M1B43,u5,68.38717711
M1B43,U6,70.79796599
M1B43,fix2,61.99647141
M1B44,fix1,45.05806314
M1B44,a0,73.71343627
M1B44,i10,69.89793485
M1B44,i20,70.85440004
M1B44,E30,71.11005519
M1B45,fix1,54.67579969
M1B45,a0,74.21271748
M1B45,a10,74.58963664
M1B45,U20,75.21362956
M1B45,a30,69.26825238
M1B45,a00,72.56700378
M1B45,a40,69.94544085
M1B45,U50,72.79801143
M1B45,a60,71.25218222
M1B45,fix2,68.16285332
M1B46,fix1,61.91933465
M1B46,a0,68.27606157
M1B46,o10,70.12708873
M1B46,u20,69.05562566
M1B46,U30,72.34155994
M1B46,a00,70.61685919
M1B46,o40,70.42405009
M1B46,u50,71.35162017
M1B46,U60,72.7004571
M1B46,fix2,68.59465264
M1B47,fix1,50.47797657
M1B47,y1,69.71403375
M1B47,U2,72.7464103
M1B47,a3,66.59327233
M1B47,y4,71.84471372
M1B47,U5,73.90830677
M1B47,a6,69.97388837
M1B47,fix2,67.13738632
M1B48,fix1,64.93676487
M1B48,a0,70.49587872
M1B48,a10,70.43921864
M1B48,U20,75.48643754
M1B48,o30,66.3774791
M1B48,a00,71.80150563
M1B48,a40,69.1697256
M1B48,U50,73.13877286
M1B48,o60,70.06253496
M1B48,fix2,71.62787585
M1B50,fix1,54.49133108
M1B50,a0,72.45897745
M1B50,i10,70.29691611
M1B50,i20,70.16003446
M1B50,U30,68.38512524
M1B50,a00,72.57470653
M1B50,i40,68.59968076
M1B50,i50,67.57580327
M1B50,U60,70.69103479
M1B50,fix2,69.79573748
M1B51,fix1,45.29594149
M1B51,e1,71.26826364
M1B51,I2,74.30880388
M1B51,a3,64.64448144
M1B51,e4,73.01762632
M1B51,I5,72.57923229
M1B51,a6,68.89636219
M1B51,fix2,70.06146629
M1B52,fix1,49.82598652
M1B52,e0,71.34505851
M1B52,e10,71.73862384
M1B52,I20,72.98644788
M1B52,a30,67.20402698
M1B52,e00,72.42864969
M1B52,e40,74.97397541
M1B52,I50,74.72412958
M1B52,a60,71.17894776
M1B52,fix2,67.98955285
M1B53,fix1,41.59306672
M1B53,y1,72.57580928
M1B53,i2,72.41678368
M1B53,E3,73.41819232
M1B53,y4,71.26796323
M1B53,i5,70.71226587
M1B53,E6,71.87256072
M1B53,fix2,68.68417387
M1B54,fix1,47.5911893
M1B54,a0,72.05790113
M1B54,i10,70.18340738
M1B54,I20,72.7123627
M1B54,o30,67.19449279
M1B54,a00,75.82223698
M1B54,i40,71.08376456
M1B54,I50,74.2515246
M1B54,o60,70.54709523
M1B54,fix2,58.97630347
M1B55,fix1,42.79028817
M1B55,y1,70.71376305
M1B55,u2,71.68176736
M1B55,E3,72.39550687
M1B55,y4,73.40988414
M1B55,u5,73.72177594
M1B55,E6,72.89559191
M1B55,fix2,68.62428339
M1B56,fix1,68.9230721
M1B56,y1,66.24658284
M1B56,U2,69.68810688
M1B56,o3,68.43406611
M1B56,y4,69.05011602
M1B56,U5,73.5804639
M1B56,o6,72.97995799
M1B56,fix2,67.92395202
M1B58,fix1,47.86137946
M1B58,a0,72.7756558
M1B58,i10,69.60651024
M1B58,I20,71.36777806
M1B58,a30,63.11989916
M1B58,a00,72.32891658
M1B58,i40,68.57066123
M1B58,I50,71.45169579
M1B58,a60,69.88975598
M1B58,fix2,70.02714366
M1B59,fix1,43.08970851
M1B59,a0,69.60638304
M1B59,a10,67.78294641
M1B59,u20,69.47142071
M1B59,E30,71.3872098
M1B59,a00,70.55120895
M1B59,a40,69.95862764
M1B59,u50,69.76830773
M1B59,E60,73.1986469
M1B59,fix2,68.18174722
M1B6,fix1,54.53282284
M1B6,a0,69.61631059
M1B6,e10,71.58376769
M1B6,I20,71.43608846
M1B6,a30,66.69106133
M1B6,a00,69.87579099
M1B6,e40,68.42838133
M1B6,I50,75.87784518
M1B6,a60,72.1493142
M1B6,fix2,67.39979044
M1B61,fix1,42.85720328
M1B61,y1,68.71320338
M1B61,U2,73.345764
M1B61,o3,65.04332521
M1B61,y4,70.18204363
M1B61,U5,75.24249187
M1B61,o6,68.14689997
M1B61,fix2,66.67437515
M1B62,fix1,40.27213402
M1B62,a0,67.89374611
M1B62,o10,68.76798368
M1B62,U20,75.02440005
M1B62,a30,66.32114861
M1B62,a00,69.73407666
M1B62,o40,68.7359446
M1B62,U50,72.8584455
M1B62,a60,70.36199461
M1B62,fix2,68.96425486
M1B63,fix1,59.72091102
M1B63,u1,69.36584073
M1B63,i2,68.98009929
M1B63,E3,68.09981372
M1B63,u4,67.17490524
M1B63,I5,75.4105881
M1B63,e6,71.09766603
M1B63,fix2,69.1887727
M1B65,fix1,69.80207233
M1B65,e1,73.71559232
M1B65,U2,73.57974654
M1B65,o3,62.29706711
M1B65,e4,72.02292813
M1B65,U5,75.99568496
M1B65,o6,70.28910774
M1B65,fix2,68.48792753
M1B66,fix1,45.74017869
M1B66,a0,67.85005004
M1B66,o10,67.83780772
M1B66,u20,69.93965601
M1B66,E30,69.18075897
M1B66,a00,70.17255521
M1B66,o40,67.84817343
M1B66,u50,67.38692259
M1B66,E60,73.38570115
M1B66,fix2,70.24390872
M1B67,fix1,45.8727194
M1B67,e1,67.41181519
M1B67,U2,73.29648806
M1B67,o3,64.33652487
M1B67,e4,66.13799925
M1B67,U5,73.05981038
M1B67,o6,70.1741196
M1B67,fix2,67.91517348
M1B68,fix1,57.72782089
M1B68,y1,67.21368531
M1B68,U2,74.40496841
M1B68,a3,60.9200541
M1B68,y4,64.47076299
M1B68,U5,76.02794509
M1B68,a6,71.24954772
M1B68,fix2,65.54763398
M1B69,fix1,64.01262829
M1B69,e1,74.31524311
M1B69,I2,73.96003487
M1B69,o3,69.85431376
M1B69,e4,72.25170784
M1B69,I5,73.9660652
M1B69,o6,70.01517607
M1B69,fix2,70.41036545
M1B7,fix1,60.39825587
M1B7,e1,74.96593104
M1B7,U2,76.18649637
M1B7,e3,70.08483267
M1B7,e4,71.47526523
M1B7,U5,75.22921944
M1B7,e6,68.48248758
M1B7,fix2,68.61983943
M1B70,fix1,63.9959012
M1B70,a0,67.55623288
M1B70,e10,69.81976086
M1B70,i20,69.67156616
M1B70,E30,70.70946811
M1B70,a00,63.8844837
M1B70,e40,70.22472813
M1B70,i50,70.40196863
M1B70,E60,75.5462828
M1B70,fix2,70.84488674
M1B73,fix1,59.863864
